,Classes,vitamin_a_per_serving_mcg,vitamin_d_per_serving_mcg,vitamin_e_per_serving_mg,vitamin_c_per_serving_mg,thiamin_per_serving_mg,riboflavin_per_serving_mg,niacin_per_serving_mg,vitamin_b6_per_serving_mg,vitamin_b12_per_serving_mcg,folic_acid_per_serving_mcg,calcium_per_serving_mg,iron_per_serving_mg,protein_per_serving_g,zinc_per_serving_mg
0,apple_pie,129.05447505499998,0.48303383333333333,0.10258317249999999,16.963436505,0.16854196645,0.163294524,4.300785581,0.09666839924999998,0.48685374749999993,1.1090087999999998,115.41791336666665,1.8532801806666668,12.110833669166665,2.041458105333333
1,baby_back_ribs,31.83588111,5.259313070000001,1.2377634480000002,9.7543294,1.9688448445999998,1.8620143677999998,30.9746163369,2.5056130296,7.84619942,0.0,93.50810489999999,8.782827467,113.647830321,15.412011307
2,baklava,110.84395306,0.0,5.340346921666666,1.3036998333333334,0.07907022685000001,0.2563725373333333,1.0214875819333333,0.03882339368333333,0.0010884691666666667,4.4489338,58.20590421666667,1.0478852553333333,4.786433689166667,0.7021488261666667
3,beef_carpaccio,268.20234704999996,0.5209220625,0.65871667,6.2113924,0.27762691549999996,0.8356129780000001,20.2583172465,1.0965494945,8.652267400000001,0.0,248.270772,12.03032148,106.50996882499999,23.201353115000003
4,beef_tartare,245.25728325,2.6589455000000006,0.95227911,7.640966000000001,0.8867251039999998,1.1264471569999999,14.249752474000001,1.3764260145000002,4.26239573,0.0,296.3192215000001,4.168994070000001,62.67874187000001,8.302543889999999
5,beet_salad,755.5121959050001,0.27,3.699341393,63.03468316333334,0.2758311827,0.3195160172,2.4320393440499997,0.38012090355,-0.17941970899999996,-5.027495,335.20876375,6.941083282500001,9.562863631166667,2.1613205145
6,beignets,258.78675023999995,4.225027000000001,1.0726449439999999,0.236588,7.7017223260000005,3.6842927628,190.88727980640002,5.108027797599999,0.935460764,0.0,2508.8631108,79.511624584,580.2610759199999,100.499150928
7,bibimbap,6178.5713449800005,1.2845665000000002,13.751117551,46.46127250000001,1.27708722,1.4933163579,27.5702443245,1.7109295273999998,3.0616877999999996,1.0104285999999998,357.7874571,15.2977074,68.92093478,12.917667264999999
8,bread_pudding,173.61480303999997,2.3821353333333333,0.5430309399999999,0.15772533333333333,0.35136050873333324,0.7087108173333334,4.9747468884,0.12343097073333333,1.9834252366666665,16.068268533333335,335.07067286666665,3.9978402946666662,17.463133156666668,1.593112711333333
9,breakfast_burrito,859.7802000000001,0.23414000000000001,1.3195956500000001,181.9913885,0.5985119,1.6887339149999998,5.104405325,0.45010866499999996,2.54668575,0.42500000000000004,786.705275,17.4851582,51.78586275,4.361914349999999
10,bruschetta,148.57540500000002,0.06654037500000001,0.21893014549999998,4.39489338,0.04332039025,0.09552806215,0.8019983004000001,0.1012564646,0.20097775,0.21250000000000002,65.23432084999999,0.3486067725,4.0716185325000005,0.5025964884999999
11,caesar_salad,1396.4523328875,0.19130375,1.2001746229999999,2.2525122,0.449128414875,0.34138823555,4.12628011415,0.170236713725,0.49329585774999996,65.0617,425.55280550000003,3.7242781715,20.57487944775,1.76412964175
12,cannoli,2852.0850727199995,3.7575368000000005,4.285684699999999,3.5488289999999996,5.2420014342,4.374157967999999,114.93288235720003,3.5380622841999996,12.56038959,0.8872055999999999,3281.5803226,51.50299802400001,434.21340187000004,64.97976807399999
13,caprese_salad,863.0295585000001,0.0,0.47946119,19.32323,0.051192198,0.05222586,0.7867369799999999,0.09856072699999999,0.013308119999999998,0.0,56.720095,1.3487299499999998,1.98759862,0.36980842
14,carrot_cake,1331.8724429774998,0.1534330575,0.44582706999999994,3.4109343500000002,0.273348852525,0.18120584380000002,5.108354823399999,0.18253896562499997,0.17179179925,0.0,92.98495474999999,3.0623904480000004,14.606384295249997,2.262312573750001
