,ing_name,serving_size,vitamin_a,vitamin_d,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,vitamin_b12,folic_acid,calcium,irom,protein,zink
28,sugar,100 g,0.00 IU,0.00 IU,0.00 mg,0.0 mg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 mcg,0.00 mcg,20.00 mg,0.00 mg,0.00 g,0.00 mg
728,light brown sugar,100 g,206.00 IU,49.00 IU,0,0.0 mg,0,0.210 mg,0,0,1.23 mcg,0,123.00 mg,0.59 mg,2.06 g,0.25 mg
57,flour,100 g,0.00 IU,0.00 IU,0,0.0 mg,0.457 mg,0.172 mg,11.499 mg,0.304 mg,0.00 mcg,0.00 mcg,130.00 mg,4.74 mg,33.80 g,5.99 mg
481,cinnamon,100 g,4.00 IU,0.00 IU,0.50 mg,0.0 mg,0.317 mg,0.120 mg,2.822 mg,0.027 mg,0.05 mcg,36.00 mcg,71.00 mg,2.54 mg,7.05 g,0.49 mg
64,pastry crust,100 g,128.00 IU,2.00 IU,0.35 mg,0.1 mg,0.190 mg,0.260 mg,2.000 mg,0.040 mg,0.20 mcg,35.00 mcg,35.00 mg,1.80 mg,8.00 g,0.70 mg
445,apples,100 g,339.00 IU,0,0,22.3 mg,0.020 mg,0.030 mg,0.800 mg,0,0.00 mcg,0,29.00 mg,0.07 mg,0.60 g,0.06 mg
420,lemon juice,100 g,6.00 IU,0.00 IU,0.15 mg,38.7 mg,0.024 mg,0.015 mg,0.091 mg,0.046 mg,0.00 mcg,0.00 mcg,6.00 mg,0.08 mg,0.35 g,0.05 mg
48,butter,100 g,3069.00 IU,0.00 IU,2.80 mg,0.0 mg,0.001 mg,0.005 mg,0.003 mg,0.001 mg,0.01 mcg,0.00 mcg,4.00 mg,0.00 mg,0.28 g,0.01 mg
698,lean pork spareribs,100 g,0.00 IU,41.00 IU,0.22 mg,0.0 mg,0.367 mg,0.357 mg,6.053 mg,0.459 mg,1.52 mcg,0.00 mcg,15.00 mg,1.56 mg,21.85 g,2.93 mg
25,dark soy sauce,100 g,0,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
10,hoisin sauce,100 g,313.00 IU,0,0,0,0,0,0,0,0,0,0,0,0.00 g,0
709,bottled chili sauce,100 g,126.00 IU,0.00 IU,0,34.2 mg,0.010 mg,0.030 mg,0.627 mg,0.120 mg,0.00 mcg,0.00 mcg,36.00 mg,1.33 mg,0.72 g,0.09 mg
672,liquid honey,100 g,0.00 IU,0.00 IU,0.00 mg,0.5 mg,0.000 mg,0.038 mg,0.121 mg,0.024 mg,0.00 mcg,0.00 mcg,6.00 mg,0.42 mg,0.30 g,0.22 mg
2439,brandy,100 g,0.00 IU,0,0,0.0 mg,0.640 mg,0.248 mg,3.478 mg,0.360 mg,1.34 mcg,0.00 mcg,7.00 mg,0.94 mg,17.27 g,2.70 mg
68,fresh ginger,100 g,1442.00 IU,218.00 IU,2.58 mg,0.0 mg,0.176 mg,0.528 mg,0.024 mg,0.350 mg,1.95 mcg,0.00 mcg,129.00 mg,2.73 mg,15.86 g,2.30 mg
66,fresh garlic,100 g,0.00 IU,0.00 IU,0.67 mg,1.2 mg,0.435 mg,0.141 mg,0.796 mg,1.654 mg,0.00 mcg,0.00 mcg,79.00 mg,5.65 mg,16.55 g,2.99 mg
